Date,Net_Worth,Regime,Confidence,Action,Agent_0_Act,Agent_1_Act,Agent_2_Act
2021-03-26,9990.092716282606,1,0.99,0.9907283717393875,1.0,1.0,-0.8543256521224976
2021-03-29,9963.8323168578,0,0.99,0.990960998237133,1.0,1.0,-0.8078003525733948
2021-03-30,9984.216903078952,2,0.99,-0.98,1.0,1.0,-1.0
2021-03-31,9877.45071855624,2,0.99,-0.8695968598127365,1.0,1.0,-0.8884816765785217
2021-04-01,9753.076257508948,2,0.99,-0.98,1.0,1.0,-1.0
2021-04-05,9739.496260747164,1,0.99,0.9912408193945884,1.0,1.0,-0.7518361210823059
2021-04-06,9750.668074071644,1,0.99,0.9911086612939835,1.0,1.0,-0.7782677412033081
2021-04-07,9777.320978152817,2,0.99,-0.98,1.0,1.0,-1.0
2021-04-08,9706.720894354547,2,0.99,-0.8839151191711425,1.0,1.0,-0.9029445648193359
2021-04-09,9685.394294705524,1,0.99,0.9909859663248062,1.0,1.0,-0.8028067350387573
2021-04-12,9713.836568270925,1,0.99,0.9905431237816811,1.0,1.0,-0.8913752436637878
2021-04-13,9680.972588159637,0,0.99,0.9901911467313766,1.0,1.0,-0.9617706537246704
2021-04-14,9765.660474165667,2,0.99,-0.8990295225381851,1.0,1.0,-0.9182116389274597
2021-04-15,9717.85437319772,1,0.99,0.9910924816131592,1.0,1.0,-0.7815036773681641
2021-04-16,9670.525636579734,0,0.99,0.9901164364814758,1.0,1.0,-0.976712703704834
2021-04-19,9600.416182129902,0,0.99,0.9906571426987648,1.0,1.0,-0.8685714602470398
2021-04-20,9673.74970192089,2,0.99,-0.7442798864841461,1.0,1.0,-0.7618988752365112
2021-04-21,9722.727577048838,0,0.99,0.9902808928489685,1.0,1.0,-0.9438214302062988
2021-04-22,9810.311080898431,2,0.99,-0.7385617172718048,1.0,1.0,-0.7561229467391968
2021-04-23,9778.222360799782,1,0.99,0.9904440599679947,1.0,1.0,-0.911188006401062
2021-04-26,9776.13137410376,1,0.99,0.9908287432789803,1.0,1.0,-0.834251344203949
2021-04-27,9773.345905964743,1,0.99,0.9909477767348289,1.0,1.0,-0.8104446530342102
2021-04-28,9816.055197400661,2,0.99,-0.9540967005491257,1.0,1.0,-0.9738350510597229
2021-04-29,9858.49371755229,0,0.99,0.9912746730446815,1.0,1.0,-0.7450653910636902
2021-04-30,9879.565147087222,1,0.99,0.9917510586977005,1.0,1.0,-0.6497882604598999
2021-05-03,9819.104715217414,0,0.99,0.9904188668727875,1.0,1.0,-0.9162266254425049
2021-05-04,9822.135155146212,1,0.99,0.9916985842585564,1.0,1.0,-0.6602831482887268
2021-05-05,9881.775934933577,2,0.99,-0.8553992730379104,1.0,1.0,-0.8741406798362732
2021-05-06,9820.248978224052,2,0.99,-0.8559867626428604,1.0,1.0,-0.874734103679657
2021-05-07,9885.360992273985,0,0.99,0.99,1.0,1.0,-1.0
2021-05-10,9797.995437906346,0,0.99,0.9922002458572388,1.0,1.0,-0.5599508285522461
